;Undifferentiated mesodermal cells;Skeletal muscle cells A;Neurons A (Brain);Muscle cells (Pectoral fin);Neuronal precursors A;Fibroblasts A;Neurons B (Proliferating);Epidermal cells A;Erythrocytes A;Cone cells;Epithelial cells (Fin);Skeletal muscle cells B;Chondrocytes A;Retinal cells A;Erythrocytes B;Epidermal cells B;Fibroblasts B (Fin);Hepatocytes A;Satellite cells;Smooth muscle cells A (Vasculature);Intestinal cells A;Lens cells A;Fibroblasts C;Neuronal precursors B;Neurons C (Spinal cord);Lymphocytes A;Keratinocytes A;Retinal cells B;Pigment cells (Xantophores);Rod cells;Epidermal cells C;Fibroblasts D;Nephric duct cells;Neurons D (Brain);Endothelial cells;Epithelial cells (Mucosa);Lens cells B;Pigment cells (Melanocytes);Intestinal cells B (Exocrine);Macrophages;Pigment cells (Iridophores);Pancreas exocrine cells;Glial cells (Peripheral);Skeletal muscle cells C;Radial glia A;Skeletal muscle cells D;Retinal pigment epithelial cells;Epidermal cells D;Radial glia B;Chondrocytes B;Neurons E (Peripheral);Neuromast cells;Epidermal precursors;Olfactory receptor cells;Corneal cells;Chondrocytes C;Smooth muscle B;Epithelial cells (Otic vesicle);Hepatocytes B;Neutrophils;Osteoblasts;Skeletal muscle cells E (slow);Oligodendrocytes;Epithelial cells (other);Keratinocytes B;Hepatocytes C;Kidney cells;Chondrocytes D;Inner ear cells;Lymphocytes B
layer;Paraxial mesoderm - fibroblasts;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - fibroblasts;Neuroectoderm;Surface ectoderm;Lateral plate mesoderm;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - muscle;Paraxial mesoderm - cartilage;Neuroectoderm;Lateral plate mesoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Endoderm;Paraxial mesoderm - muscle;Paraxial mesoderm - muscle;Endoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Neuroectoderm;Neuroectoderm;Lateral plate mesoderm;Surface ectoderm;Neuroectoderm;Neural crest;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Lateral plate mesoderm;Neuroectoderm;Lateral plate mesoderm;Endoderm;Surface ectoderm;Neural crest;Endoderm;Lateral plate mesoderm;Neural crest;Endoderm;Neural crest;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - muscle;Neuroectoderm;Surface ectoderm;Neuroectoderm;Paraxial mesoderm - cartilage;Neural crest;Surface ectoderm;Surface ectoderm;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - cartilage;Paraxial mesoderm - muscle;Neuroectoderm;Endoderm;Lateral plate mesoderm;Paraxial mesoderm - cartilage;Paraxial mesoderm - muscle;Neuroectoderm;Surface ectoderm;Surface ectoderm;Endoderm;Lateral plate mesoderm;Paraxial mesoderm - cartilage;Neuroectoderm;Lateral plate mesoderm
orig;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
8;twist1a;tnni2a.4;zgc:153426;ran;si:ch211-193l2.7;serpinf1;AL929185.2;im:7150988;blvrb;arr3b;si:ch1073-406l10.2;tnnc2;cthrc1a;epb41a;hbae1;zgc:193505;ttc36;serpina1l;tuba8l3;myl9a;apoa4b.2;crygmxl2;postnb;ptgdsb.2;vamp2;cebpb;lgals1l1;glula;uraha;gngt2a;krt96;si:ch211-251b21.1;krt8;pax6b;cldn5b;KRT18 (1 of many).1;crygn2;tyrp1a;BX908782.1;arpc1b;akap12a;zgc:112160;egr2b;myl1;mdka;ttn.1;irbp;krt4;pbxip1b;tgm2l;CLDN4 (1 of many).1;mafbb;foxi3b;cldnh;pmp22a;fgfbp2b;cald1b;si:ch211-80h18.1;serpina1l;arpc1b;sgms2;tpm3;mbpb;cbln20;zgc:86896;ttr;pdzk1ip1;cmn;gpx1b;MFAP4 (1 of many).1
9;si:ch73-335l21.4;nme2b.2;rtn1a;eif3ea;her4.4;col1a1b;h3f3a;si:ch211-195b11.3;si:ch211-250g4.3;rcvrn2;CU693494.2;pvalb2;ucmab;gng13b;cahz;aep1;ucp3.1;apoc1;pabpc4;myl6;tm4sf4;crygm2d7;si:ch211-251b21.1;slc6a1b;si:dkey-7j14.5;rac2;cldni;vamp1;bscl2l;elovl4b;icn;mfap5;agrp;syt1a;tagln2;epcam;lim2.4;icn;si:ch211-137i24.10;si:dkey-27i16.2;gpnmb;ela3l;nrgna;tnnt3a;cygb1;tnni2a.4;rdh5;CABZ01059409.1;hepacama;lect1;clic6;ponzr5;FO704910.4;txn;tubb6;col9a3;mylkb;si:ch211-152c2.3;serpina1;pfn1;bgna;tnni1c;elovl1b;sox21a;epgn;ambp;tmem174;si:dkey-6n6.1;pvalb8;ccl34b.4
10;ms4a17a.8;mylz3;rtn1b;hmgn2;si:ch211-193l2.5;tmem119b;nusap1;mid1ip1a;hbae5;opn1lw2;epgn;ckmb;tgfbi;snap25b;blvrb;cyt1;ecrg4a;uox;qkia;tpm4a;plac8.1;crygm2d5;rbp7b;cx43;stmn1b;wasb;ptgdsb.1;vsx1;aqp3a;rs1a;si:ch211-157c3.4;KRT18 (1 of many);jam2b;elavl3;clec14a;mal;si:ch211-255g12.6;s100a10b;grn1;havcr1;smim29;ela2;clic6;tpm4b;sepp1a;mylz3;tyrp1b;zgc:193505;ptgdsb.2;hsp90aa1.2;sox10;pvalb8;si:ch73-359m17.9;sepw2b;cdk1;col9a2;myh11a;epcam;ces2;mpx;entpd5a;tnni4b.2;marcksl1b;moxd1l;CABZ01063789.1;si:ch211-113d11.5;hoga1;col2a1a;otofb;MFAP4 (1 of many).9
11;zgc:153704;myl1;gpm6aa;stmn1a;her12;fmoda;fabp7a;si:ch211-117m20.5;si:ch211-207c6.2;gnat2;epcam;atp2a1;fibina;rgs16;si:ch211-250g4.3;lye;CU929368.1;ces2;hey1;myl9b;apoa4b.1;crygm2d21;en1a;ptn;rnasekb;laptm5;pfn1;gnb3a;akr1b1;si:ch73-28h20.1;icn2;jun;cxcl8b.3;hmgn6;etv2;si:ch1073-190k2.1;crybb1l2;anxa1a;si:dkeyp-73b11.8;tspan36;anxa4;zgc:136461;si:rp71-19m20.1;fhl2a;apof;tnnc2;lratb.2;stard14;atp1a1b;cbx7a;slc35c2;atp1b1b;clcn2c;chga;aurkb;col11a1a;tpm2;si:dkey-16l2.17;apoa4b.1;lta4h;si:dkey-32e6.6;myl4;cldn19;si:dkeyp-110c7.4;pfn1;uroc1;slc5a12;ta;gipc3;laptm5
12;CABZ01092746.1;mylpfa;tuba1a;eif3ba;her2;serpinh1b;hmgb1b;zgc:193505;hbbe1.2;arr3a;and1;myhz1.3;col11a1a;lin7a;fth1a;si:dkeyp-1h4.6;pcbd1;serpina1;rpl22l1;serpinh1b;afp4.1;crygm2d16;col1a1a;ptgdsb.1;stmn2a;srgn;rbp4;rgs16;KRT18 (1 of many);saga;si:ch73-204p21.2;CABZ01092746.1;tmem88b;gpm6aa;myct1a;bik;crygm2d8;mlpha;tmem176l.2;lgals2a;nme4;cpa5;asmtl;mylpfa;atp1a1a.2;ckmb;rbp5;cldne;igfbp7;gyg1a;gpm6ab;igfbp5a;cldnb;abhd2b;alpl;tnxba;myl9b;col9a2;fgg;scpp8;col5a2b;smyhc1;si:ch211-286c4.6;si:ch211-153b23.5;zgc:101810;gpx4a;pnp6;lect1;tmc2a;il13
13;krt8;ckma;ebf3a;setb;her4.3;dcn;hes6;zgc:111983;si:ch211-103n10.5;ckmt2a;aqp3a;mylz3;mmp2;anp32e;prdx2;mid1ip1a;aqp3a;agxtb;zgc:92518;zgc:153867;zgc:158846;crygm2d6;sparc;atp1b4;stmn4;CD53;cfd;lin7a;paics;ckmt2a;agr1;krt8;tmem176;pvalb6;si:ch211-248e11.2;spint2;crygm2d13;gpr143;ifi30;pfn1;alx4a;si:dkey-14d8.6;cx27.5;mustn1b;rbp4;mylpfa;stra6;lye;fabp7a;gyg1b;krt8;si:dkey-159a18.1;dmrt2a;tspan2a;rplp1;epyc;fhl1a;cd9b;hp.1;coro1a;sod3b;myh7bb;si:ch211-133n4.4;zgc:158343;tp63;agxtb;fbp1b;col9a3;calml4a;MFAP4 (1 of many).8
14;vim;tnni2b.2;gng3;seta;AL929185.2;cxcl18b;tubb2b;krt96;si:dkey-25o16.2;si:ch1073-469d17.2;si:rp71-77l1.1;si:ch73-367p23.2;serpinh1b;mpp6b;si:dkey-25o16.2;si:ch211-207n23.2;and1;pklr;mibp2;eno3;s100a10a;crygm2d8;en1b;mdka;scg2b;arhgdig;col1a1b;mt2;mdh1aa;ppdpfa;anxa1b;si:ch73-335l21.4;rdh10a;sncb;sox7;zgc:101744;cryba2a;gstp1;krt92;cebpb;zgc:110789;sycn.2;si:dkey-262k9.4;casq2;smox;atp2a1l;pmela;epcam;hspb15;CR383676.1;KRT18 (1 of many);cldnh;kcnj1a.1;TSTD1;hmgn2;si:dkeyp-12a9.5;lmod1b;CLDN4 (1 of many).1;pklr;wasb;fpr1;smyhc2;mbpa;si:ch211-229d2.5;si:ch1073-406l10.2;si:ch73-15n24.1;gstr;chad;anxa5a;srgn
15;mfap2;pvalb1;hmgb3a;ranbp1;si:ch73-21g5.7;si:ch211-286o17.1;stmn1a;CABZ01059413.1;prdx2;prph2a;si:dkey-248g15.3;mylpfa;sparc;si:ch73-1a9.3;gpx1a;zgc:111983;CABZ01092746.1;fgg;rplp2l;kctd12.2;cyp3a65;crygm2d4;col5a1;s1pr1;map1aa;lcp1;postnb;nme2a;si:ch211-194k22.8;syt5b;FO904881.1;igfbp5b;tmem98;zc4h2;si:ch211-145b13.6;ponzr5;CR847505.1;aldh9a1a.1;cldn15la;ctss2.2;ponzr1;c6ast4;efhd1;acta1a;wu:fj16a03;ckma;rbp4l;KRT86;cx43;cav2;hbegfb;capn8;slc12a10.2;ompb;tuba8l;ucmab;zgc:153867;col9a3;rbp2b;actb2;bmp8a;tnni1b;plekha1a;si:dkey-33m11.8;col11a1a;cbln17;si:ch211-139a5.9;matn3b;gb:eh456644;si:dkey-21e2.14
16;si:dkey-12l12.1;mybphb;cd99l2;cirbpa;hmgb2b;twist1a;her15.1;cldne;tspo;si:ch211-81a5.8;cxl34b.11;tpma;twist1a;ppp1r1b;nt5c2l1;agr1;c1qtnf5;hp.1;rps9;cfd;apoc2;si:ch211-255g12.6;mxra8b;si:ch211-66e2.5;atpv0e2;grap2a;tmsb1;nrn1lb;prdx1;anp32e;krt4;si:dkey-261h17.1;cyp2ad3;h3f3d;ehd4;si:ch211-195b11.3;crygm2d10;rabl6b;si:dkey-36i7.3;lgals3bpb;si:ch211-256m1.8;zgc:92137;gldn;desma;tfpia;tpma;rdh8a;rhcga;atp1b4;hspa4a;si:ch211-193l2.5;gcm2;si:ch211-270g19.5;capsla;mad2l1;prss35;zgc:110699;col9a1a;ambp;ncf1;col11a2;mybpc1;ppp1r14aa;phlda2;rac2;cbln11;slc22a7b.1;col11a1a;si:dkey-222f2.1;MFAP4 (1 of many).7
17;cyr61;slc25a4;calr;hmgn7;hmgn2;pmp22a;pcna;si:dkey-248g15.3;zmp:0000001081;prph2b;rbp4;neb;wfdc2;efna1b;zgc:56095;krtt1c19e;pah;ttr;eef1g;rbpms2b;apoea;crygm2d11;pdgfrl;her4.1;calm1b;grap2b;cfl1l;si:ch1073-83n3.2;pax7b;fabp7a;anxa1c;osr1;cav1;tfap2a;gpr182;sepw1;crygm2d2;CABZ01067314.1;slc10a2;coro1a;myo5b;apoda.2;pmp22b;atp2a1;slc3a2b;neb;proca1;fut9d;ptgdsb.1;pcolceb;atf3;prdx2;si:dkey-189h5.6;si:rp71-17i16.6;KRT18 (1 of many);pcolceb;cxcl14;si:dkey-251i10.2;sid4;lcp1;pltp;acta1a;tuba8l3;fndc7a;rbp4;zgc:171534;slc26a1;si:dkey-234i14.3;si:ch211-284k5.2;pfn1
