;Undifferentiated mesodermal cells;Skeletal muscle cells A;Neurons A (Brain);Muscle cells (Pectoral fin);Neuronal precursors A;Fibroblasts A;Neurons B (Proliferating);Epidermal cells A;Erythrocytes A;Cone cells;Epithelial cells (Fin);Skeletal muscle cells B;Chondrocytes A;Retinal cells A;Erythrocytes B;Epidermal cells B;Fibroblasts B (Fin);Hepatocytes A;Satellite cells;Smooth muscle cells A (Vasculature);Intestinal cells A;Lens cells A;Fibroblasts C;Neuronal precursors B;Neurons C (Spinal cord);Lymphocytes A;Keratinocytes A;Retinal cells B;Pigment cells (Xantophores);Rod cells;Epidermal cells C;Fibroblasts D;Nephric duct cells;Neurons D (Brain);Endothelial cells;Epithelial cells (Mucosa);Lens cells B;Pigment cells (Melanocytes);Intestinal cells B (Exocrine);Macrophages;Pigment cells (Iridophores);Pancreas exocrine cells;Glial cells (Peripheral);Skeletal muscle cells C;Radial glia A;Skeletal muscle cells D;Retinal pigment epithelial cells;Epidermal cells D;Radial glia B;Chondrocytes B;Neurons E (Peripheral);Neuromast cells;Epidermal precursors;Olfactory receptor cells;Corneal cells;Chondrocytes C;Smooth muscle B;Epithelial cells (Otic vesicle);Hepatocytes B;Neutrophils;Osteoblasts;Skeletal muscle cells E (slow);Oligodendrocytes;Epithelial cells (other);Keratinocytes B;Hepatocytes C;Kidney cells;Chondrocytes D;Inner ear cells;Lymphocytes B
layer;Paraxial mesoderm - fibroblasts;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - fibroblasts;Neuroectoderm;Surface ectoderm;Lateral plate mesoderm;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - muscle;Paraxial mesoderm - cartilage;Neuroectoderm;Lateral plate mesoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Endoderm;Paraxial mesoderm - muscle;Paraxial mesoderm - muscle;Endoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Neuroectoderm;Neuroectoderm;Lateral plate mesoderm;Surface ectoderm;Neuroectoderm;Neural crest;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - fibroblasts;Lateral plate mesoderm;Neuroectoderm;Lateral plate mesoderm;Endoderm;Surface ectoderm;Neural crest;Endoderm;Lateral plate mesoderm;Neural crest;Endoderm;Neural crest;Paraxial mesoderm - muscle;Neuroectoderm;Paraxial mesoderm - muscle;Neuroectoderm;Surface ectoderm;Neuroectoderm;Paraxial mesoderm - cartilage;Neural crest;Surface ectoderm;Surface ectoderm;Neuroectoderm;Surface ectoderm;Paraxial mesoderm - cartilage;Paraxial mesoderm - muscle;Neuroectoderm;Endoderm;Lateral plate mesoderm;Paraxial mesoderm - cartilage;Paraxial mesoderm - muscle;Neuroectoderm;Surface ectoderm;Surface ectoderm;Endoderm;Lateral plate mesoderm;Paraxial mesoderm - cartilage;Neuroectoderm;Lateral plate mesoderm
orig;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
18;klf2a;tnnt3a;elavl4;eif3f;id1;col5a1;si:ch211-288g17.3;FO904881.1;zgc:56095;guca1c;zgc:158343;ckma;cpxm1a;grb2b;hbae5;FO904881.1;ldhba;ambp;rps12;actb2;zgc:153968;crygn2;thbs4b;si:ch211-193l2.3;aldocb;rgs13;apoeb;sh3gl2a;si:dkey-73n8.3;tulp1a;si:ch211-195b11.3;tmem176;rbp4;H2AFX (1 of many).5;plk2b;calm1b;crygm2d1;csrp2;wu:fb59d01;laptm5;tpd52l1;cpb1;cldn19;nme2b.2;atp1b4;slc25a4;tm6sf2;spint2;si:dkeyp-110a12.4;mcl1a;vim;ankhb;nqo1;vsig8a;kpna2;col2a1b;lxn;col2a1a;fetub;tmsb4x;PLA2G10;nme2b.2;cd82a;CABZ01021592.2;zgc:136930;a2ml;si:ch211-201h21.5;col9a2;twf2b;si:ch211-112c15.8
19;jun;ckmb;ptmaa;hmga1a;hmga1a;jdp2b;si:ch211-222l21.1;lye;nt5c2l1;tmem237a;ptgs2a;myl1;epyc;h3f3b.1;si:ch211-207c6.2;anxa1b;qdpra;cfhl4;eef1b2;fhl2a;si:dkey-36i7.3;crybgx;fabp3;si:ch211-193l2.5;rtn1a;si:dkey-27i16.2;cxcl8a;glulb;zgc:113142;CABZ01102500.1;cldne;add3a;cfd;hmgb3a;si:dkeyp-97a10.2;tmsb1;crygm2d5;oca2;plac8.1;tmsb4x;CYSTM1;spink4;qki2;tpm3;lxn;si:ch73-367p23.2;pmelb;CABZ01059413.1;cav1;stip1;junba;dmrt2a;mal2;FP236545.1;hpdb;srpx;BX322618.1;serpine2;uox;si:dkey-102g19.3;loxl4;hhatlb;tlcd1;CLDN4 (1 of many);si:dkey-183i3.5;si:cabz01068815.1;slc25a5;gas2b;tspan13b;ccr9a
20;hspb1;si:ch73-367p23.2;tmeff1b;eif5a2;hmgb1b;sparc;mki67;stard14;slc4a1a;ndrg1b;tagln2;slc25a4;si:ch211-251b21.1;h3f3b.1.2;tspo;zgc:175088;fah;gc;RPL41;hspb1;si:dkeyp-73b11.8;crygm2d10;zgc:113307;si:ch211-251b21.1;cplx2l;rps17;zgc:86896;fam107b;pmp22b;sypb;cd9b;sostdc1a;cd151;h3f3b.1;ecscr;si:dkey-193p11.2;crygm2d12;tspan10;cldn15lb;lgals9l1;si:dkey-21a6.5;si:ch211-240l19.6;myo1cb;myhz2;glulb;actn3a;ctsd;si:ch73-329n5.6;wnt4b;pnrc2;pfn2;FO904881.1;COX5B (1 of many).1;htatip2;hmgb2a;itih1;ckba;sparc;ttr;si:ch211-284o19.8;sparc;zgc:163073;flj13639;tspan35;krtt1c19e;cfb;agxtb;si:dkey-12l12.1;CR792457.1;il11b
21;ecrg4a;myl10;si:dkey-276j7.1;cct4;si:ch211-222l21.1;socs3b;seta;anxa1c;gpx1a;slc25a3a;egfl6.1;atp2a1l;col11a2;rsrp1;lmo2;si:dkey-247k7.2;gstz1;sid4;rpl11;ifitm1;gpx4a;cryba4;si:dkey-12l12.1;mt2;rtn1b;rplp2l;col1a2;ckbb;csrp2;neurod1;zgc:111983;htra1b;cavin1b;calm3a;fam174b;dnase1l4.1;crygm2d20;gstt1a;cldnc;atp6v0ca;emp3b;pla2g1b;pou3f1;ckmb;cx43;myl1;inpp5ka;anxa1b;hoxb8a;zfand2a;sb:cb81;cd9b;dnase1l4.1;TUBB4A (1 of many);si:ch73-1a9.3;serpinh1b;cfd;fbln7;apom;spi1b;si:dkey-12l12.1;myoz2b;qki2;tmem176l.4;zgc:77439;miox;glud1b;shha;EMB;wasb
22;wnt11r;myl13;sox4a.1;zgc:56493;sox3;her6;cdk1;cldnb;BX936337.1;si:ch211-285j22.3;bcam;actn3a;col2a1b;erh;hbz;fut9d;mdh1aa;rbp2b;rps3a;rbpms2a;sult6b1;crygm2d12;meox1;cspg5b;hmgb3a;rplp1;si:ch1073-406l10.2;sncgb;phyhd1;crx;si:dkey-87o1.2;CR383676.1;cygb1;gpm6ab;tmem88a;si:dkey-87o1.2;crygm2d3;zgc:110339;zgc:172079.2;si:ch211-212k18.7;tagln3b;amy2a;gpm6ab;lgals2a;lpl;tnnt3b;fgfbp1b.1;si:ch1073-190k2.1;ptn;aldob;serpinh1b;si:dkey-112a7.4;gsto1;tspan35;pitx2;si:dkey-6n6.1;rgs5a;wfdc2;fgb;zgc:158446;si:ch211-76l23.4;tnnt1;si:ch211-132g1.3;irg1l;CU468917.1;hp.1;atp1a1a.4;sparc;baiap2l2b;scgn
23;fosab;si:dkey-16p21.8;sox11b;hnrnpa0b;hmgb2a;mfap2;khdrbs1a;si:ch211-173d10.1;mibp;si:ch73-28h20.1;zgc:153911;tnnt3b;pmp22a;CR383676.1;slc4a1a;si:dkeyp-51b9.3;bhmt;aldob;rpl17;cyp2ad3;cd36;cryba2a;entpd1;si:ch211-193l2.4;stxbp1a;hsp90ab1;aep1;neurod4;zgc:92161;arl3l2;ppl;fosab;tagln2;gng3;si:ch211-33e4.2;tspan35;crygm2d21;slc22a2;serpinb1;vmp1;tfec;cpa4;nr4a2b;myhb;slc7a8a;actc1b;pttg1ipb;tdh;ndrg3a;hsp70.3;marcksl1b;si:dkey-262k9.2;si:ch73-31d8.2;gng13b;nusap1;hapln1b;hand2;atp1b1a;gpx4a;il6r;serpinh1b;mustn1b;cd9b;cxcl14;KRT18 (1 of many).1;A2ML1 (1 of many).7;gpt2l;zgc:175280;ODF3L2 (1 of many);grap2a
24;igf2b;CELA1 (1 of many);hmgb1b;tpma;h2afvb;cd82a;h2afva;si:ch1073-340i21.3;lmo2;pdcb;tmsb4x;si:ch211-255p10.3;sepp1a;gapdhs;BX936337.1;cldne;crabp2a;gamt;rpl21;sdc4;pck1;cryba1l1;mdka;crtac1a;gpm6ab;cxcr4b;ecrg4b;eno1a;reep5;nr2e3;lye;pcolcea;krt15;stx1b;pecam1;gstp2;crygm2d16;rtn1b;si:dkey-283b1.6;npc2;paics;zgc:92590;si:ch211-214p13.3;cav3;slc20a2;myhz1.3;tspan36;zgc:153911;mdkb;col9a1a;qkia;cfl1l;ndrg3a;cnga4;hmgn7;pdcd6;rbpms2a;cldnb;afp4.1;alox5ap;krt18;srl;cx27.5;cldnh;cfl1l;vtna;slc2a11l;si:ch211-243g18.2;si:dkey-229d2.7;MFAP4 (1 of many).10
25;krt18;aldoab;hsp90b1;psmb7;dla;rbp4;ran;anxa1b;alas2;gngt2a;zgc:86896;tnni2b.2;zgc:162730;vamp1;mibp;tmem176l.4;slc16a10;apoa4b.1;rpl10a;tmsb4x;zgc:172079.2;crybb1;twist1a;ndrg3a;snap25b;rpl18a;epcam;bhlhe23;aldh9a1a.1;unc119b;anxa2a;rbp4;aldh1a2;marcksl1b;tmsb4x;cd9b;crygm2d11;smim29;tmigd1;ctss2.1;sytl2b;si:dkey-14d8.7;si:ch211-234p6.5;tcap;bsg;actn3b;lrata;rhbg;ldlrad2;EPS8L2;tmem176;spint2;soul2;gnb1a;stmn1a;zgc:162730;cfl1;serpinh1b;cfhl4;CD53;mibp2;mybpc3;mag;selm;cxcl8a;si:ch211-212c13.8;atp5g3b;tgm2l;cabp2b;coro1a
26;cebpd;ela2;sncb;atp5b;BX465834.1;col1a1a;si:ch73-1a9.3;si:ch211-207n23.2;hbz;irbp;KRT18 (1 of many).1;pkmb;sdc4;hmgn6;mterf3;caspb;prrx1a;grhprb;rplp1;sparc;aqp8a.2;cryba2b;rbp4;her4.2.1;si:dkeyp-75h12.5;ptpn6;rhbg;six3b;tspan36;zgc:109965;mid1ip1a;plpp3;hand2;ywhag2;cdh5;FO904881.1;grifin;si:dkey-204f11.64;FO834808.2;ncf1;slc45a2;cel.2;vat1;tmem38a;slc13a4;myoz1b;si:ch211-237l4.6;si:ch211-157c3.4;slc3a2a;krt18;hepacama;si:dkey-87o1.2;atp5g3b;BX511021.2;ube2c;ecrg4a;aoc2;six1b;si:ch211-270n8.1;si:ch73-359m17.5;si:ch211-170d8.8;atp2a2a;ugt8;si:ch211-152f23.5;si:ch211-117l17.6;si:dkey-86l18.10;ftcd;selm;si:ch211-218o21.4;grap2b
27;si:ch211-251b21.1;pvalb4;ywhag2;hnrnpabb;si:ch211-288g17.3;matn4;tubb4b;epcam;epb41b;ckbb;zgc:162509;actc1b;ntd5;nova2;histh1l;si:ch211-153b23.5;vcanb;si:dkeyp-73d8.9;rpl13a;si:dkey-7j14.6;gapdh;cryba1b;tcf15;efhd1;calm1a;nme2b.1;col11a1a;fabp7a;rtn1b;arl3l1;caspb;cyp2ad3;si:ch211-156j16.1;hmgn7;erg;mid1ip1a;crygm2d4;zdhhc2;si:ch211-202h22.9;lcp1;fhl3a;cpa1;si:ch211-260e23.9;tnnt3b;flvcr2b;ryr3;slc16a1a;FO904881.1;lpin1;clic2;fabp7a;tmem176l.4;sgk2a;adcyap1b;top2a;matn4;ppp1r12b;rassf7b;gc;laptm5;pth1ra;pdlim5b;si:rp71-19m20.1;cldnb;si:dkey-91f15.1;comtd1;si:rp71-17i16.6;col11a2;si:ch211-193l2.10;arpc1b
28;mycb;tnnc2;gng2;tnnt3b;lfng;zgc:162730;cirbpa;spint2;nmt1b;guk1b;krt5;mylpfb;cdh11;laptm4b;bloc1s6;soul2;msx2b;gapdh;rpl13;BX255935.5;si:ch211-133l5.7;crygm2d15;pmp22a;BX465834.1;syt1a;rpl8;epgn;epb41a;cyb561a3b;si:ch211-106m9.1;MAL (1 of many).1;mfap2;mfap5;cirbpb;she;f11r.1;mipb;slc2a15b;si:dkeyp-72e1.6;spi1a;CABZ01072077.1;sycn.3;sncga;actc1b;tsc22d3;pkmb;fam213ab;zgc:110333;cd81a;col9a3;fabp3;ctsl.1;s100v2;zgc:152698;rpl8;si:dkey-31g6.6;fxyd1;spint2;crp3;si:ch1073-429i10.1;wif1;aldoab;lim2.2;tspan1;spaca4l;upp2;hrsp12;tppp3;nptna;capgb
29;rpz5;fabp1b.1;atf7ip;mibp2;rrm2.1;tmem176;cirbpb;caspb;tmem14ca;si:ch1073-303d10.1;krt17.1;actn3b;mfap2;oaz1b;selj;si:ch211-157c3.4;twist3;gpx4a;rpsa;fam212aa;si:dkey-69o16.5;crygm2d18;clec3ba;si:dkey-85k7.7;hmp19;rpl32;itgb1b.2;aldocb;dhrs13a.1;rbp4l;stard14;tagln2;ftr82;mdkb;si:ch211-156j16.1;tprg1;crygm2d7;bace2;anxa2b;rnaset2l;phgdh;CELA1 (1 of many).6;fstl3;srl;bhmt;mylpfb;slc45a2;si:ch211-207n23.2;crip2;ppp1r1c;her15.1;slc10a7;epcam;zgc:101731;h2afvb;mcl1a;flna;zgc:92313;ITIH4 (1 of many);nccrp1;tnmd;atp2a1;cdc42;pvalb8;entpd3;hal;gapdh;mmp23bb;enkur;FO203432.1
30;KRT18 (1 of many);afp4.1;si:dkey-56m19.5;eif3d;hes6;sdc4;tuba1a;aep1;znfl2a;cnga3a;hbegfa;myoz1b;mycb;btg1;faxdc2;pycard;hoxa13b;ITIH4 (1 of many);rps24;pmp22a;faxdc2;crybb1l2;fbln7;id1;zgc:65894;rps7;aqp3a;atpv0e2;si:ch211-251b21.1;hmgn6;cldnb;cyr61;pmp22a;ckbb;krt18;cldn7b;crygmxl2;tfap2e;naga;CD53;cmtm6;pdia2;timd4;myl4;fstl1a;aldoab;msnb;cldnb;BX465834.1;si:dkey-6n6.1;col4a2;tpte;atp5g1;si:ch73-335l21.2;rpl7a;arsia;ppp1r14aa;col11a1a;apoc2;rac2;krt8;slc25a5;tmem125b;hspa5;ppp1r1b;si:ch211-288g17.4;ifi30;ehd2b;si:dkey-11c5.11;tnfrsf9b
31;cyp2ad3;ela3l;si:ch211-288g17.3;eif2s2;elavl3;rps3a;snrpf;zgc:85975;mibp2;ppdpfa;thy1;ak1;tmem176;ptmaa;nmt1b;CABZ01059413.1;cbr1l;fgb;rpl23;hsp70.2;gsto2;crygm2d9;mfap2;her4.2;camk2n1a;ube2e1;sparc;anp32e;pfn2;tmem244;si:ch211-95j8.2;crip1;lxn;scrt2;dll4;ucp3.1;crygm2d6;tmem243a;calml4a;spi1b;rgs4;fkbp11;zgc:153012;ckma;zic2a;hspb9;trpm1b;si:dkey-184p9.7;hoxb7a;pdcd4b;her15.1.1;si:ch211-79k12.1;si:dkey-87o1.2;enkur;rps7;cpn1.1;BX927396.1;f11r.1;si:ch73-281k2.5;capgb;col1a2;pvalb7;mpz;epcam;CR855337.1;vtnb;grhprb;SLC3A2 (1 of many);si:ch211-172l8.4;CR847844.1
32;sdc4;zgc:136461;hnrnpa0a;mylz3;tubb2b;rpl10a;snrpb;KRT86;vdac2;si:ch211-207l14.1;cebpb;acta1b;rplp1;H2AFX (1 of many).5;znfl2a;krt5;msx1b;si:ch211-270n8.1;rpl37.1;ednraa;adh8b;crygm2d17;rpl7;slc3a2a;gapdhs;rpl34;col1a1a;cplx4a;aox5;ckbb;tmsb1;marcksl1a;mfap2;vamp2;clic2;cfl1l;crygm2d18;ppiaa;si:ch211-139a5.9;mpeg1.1;alx4b;c6ast3;depdc7;hspb11;zic3;ldb3b;aplp2;zgc:85975;si:ch211-66e2.5;mknk2b;CR383676.1;tspan35;spint2;zgc:198419;rpl18a;cthrc1a;myocd;col9a1b;agxtb;si:dkey-10p5.7;itga10;vmhc;slc44a1b;pdia3;ptgs2a;gc;gstt1a;rgcc;calm3a;rgs13
33;junba;prss59.2;hp1bp3;ncl;sox11b;rps4x;lbr;pycard;blf;ncaldb;s100a10b;mybphb;angptl1a;atp1b2a;tmod4;cd9b;prrx1b;crp;rpl7a;her6;krt92;crybb1l1;rpl8;hepacama;tmem59l;rps5;tmsb4x;acbd7;mlpha;rcvrn2;spint2;krt15;fabp11a;rsrp1;yrk;gnpnat1;crygm2d9;slc39a10;eps8l3b;marco;cst14a.2;CELA1 (1 of many).3;pfn2;CABZ01069194.1;si:ch73-86n18.1;ampd1;slc4a5;si:ch1073-340i21.3;sncga;oser1;cd81a;tmprss13a;si:ch1073-190k2.1;gnal;msna;tgm2l;pnp4a;sox10;c9;scinlb;ptgdsb.2;casq2;si:dkey-164f24.2;si:ch211-98n17.5;ca6;c8g;cox6a2;krt5;calm1b;CD53
34;zgc:162730;cpa5;hmp19;tubb2b;nusap1;rpl3;snrpe;si:ch211-95j8.2;CR381599.1;rgs9a;anxa1a;aldoab;col11a1b;ppp1r10;mibp2;zgc:163030;mxra8b;agxta;rps15a;ptmaa;fbp1b;si:dkey-57a22.15;rplp1;her4.3;stx1b;rpl7a;zgc:77439;efna1b;pts;atp2b1b;si:ch211-173d10.1;junba;sepp1a;stxbp1a;jam2a;si:ch1073-443f11.2;crygm2d14;slc22a7a;cldn15a;c1qb;gmps;si:ch211-240l19.7;calm1a;mylz3;si:ch73-352p4.8;ak1;tyrp1a;chac1;pdxka;hsp70.2;tmsb4x;cldne;sepw2b;prdx1;fstl3;gyg1a;si:ch211-137i24.10;cldn7b;lect2l;lpar5a;bambib;pvalb4;si:dkey-204f11.64;manf;itgb1b.2;cp;epdl2;si:dkey-174i8.1;FO681289.1;BX927125.1
35;tmem176;try;hnrnpaba;ak2;mdka;rps28;banf1;si:ch1073-190k2.1;tal1;eno1b;gstm.3;casq1a;col5a1;hspe1;CR381599.1;zgc:110333;glud1b;lect2l;rpl3;tmem176;cldn15la;fabp10a;cxcl18b;ppap2d;pcsk1nl;zgc:56493;cldn1;atp1b2a;cax1;tmx3;cfl1l;sost;pcolcea;hmgn2;si:dkey-126g1.9;oclna;lim2.1;prnpb;npc2;c1qc;ldhba;endou;phlda2;aldoab;slc6a22.1;fam13b;atp1b1a;pycard;si:ch211-269i23.2;col9a2;rpz5;cox6b1;zgc:110333;si:dkey-148f10.4;hmga1a;papss2b;pdlim3a;fosl1a;apobb.1;si:ch73-248e21.5;col1a1a;tnnt2c;ninj2;si:ch73-261i21.5;si:dkey-239h2.3;itih2;suclg1;golim4b;lrrc73;si:dkey-21e2.8
36;hgd;ela2l;tubb2b;eif3ha;seta;rpl39;ascl1a;tmem176l.4;aqp1a.1;histh1l;ca6;nme2b.2;olfml3b;srsf3b;vdac2;stard14;kazald3;kng1;rps27a;col4a1;rtn4b;lim2.4;rps6;her4.4;atp6v1e1b;rps15a;capns1a;sypb;ucp3.1;arl13a;epcam;ccl25b;ehd1b;hmgb1a;cpn1.1;s100u;crybgx;si:dkey-21a6.5;si:dkey-28n18.9;si:ch211-147m6.1;s100v2;CELA1 (1 of many).2;sox10;tnnc2;cldn11a;pabpc4;slc16a8;tmem176l.4;crabp1b;pdcd6;fxyd1;si:ch1073-190k2.1;ndrg1a;scg2b;rpsa;cbx7a;tpm4a;hsp90ab1;grhprb;ch25hl2;s100a10b;tnnt2b;gpm6ab;prr15la;epcam;ITIH4 (1 of many);gcshb;ctgfa;atp1b2b;si:ch211-67e16.3
37;junbb;ctrb1;marcksb;gtpbp4;hmgn6;rps6;hnrnpabb;si:ch211-157c3.4;zgc:92066;nme2a;lgals3b;ryr3;fmoda;pvalb2;fam53b;si:ch1073-340i21.3;serpine2;cdab;rpl23a;cxcl18b;stoml3b;crygmx;ube2e1;cd63;cbx1b;rpl19;hbegfa;gapdhs;tmem243a;snap25b;si:ch73-347e22.8;ntd5;hspb1;gapdhs;crip2;si:dkey-248g15.3;crygm2d17;mitfa;itpk1a;cxcr3.2;clec3ba;CELA1 (1 of many).4;rbm24a;AIMP1 (1 of many);cyp1d1;mt-co1;trpm1a;si:ch211-95j8.2;zgc:153704;hsp70l;col4a1;si:ch211-195b11.3;tspan35;si:dkey-71b5.7;rpl26;ptgdsa;cabp1a;hey1;gatm;si:dkey-19b23.14;emid1;desma;rhbdl3;si:ch211-152c2.3;itgb4;igfbp1a;ahcy;crabp2a;DYNLRB2;CABZ01053483.1
38;mmp2;apoc1;marcksl1b;CABZ01020261.1;h3f3a;rpl7;hmgn6;cd9b;clic2;spock3;cotl1;ldb3b;pdgfrl;ckbb;alas2;sepw1;msx3;ucp1;rps23;hsp70l;atp1a1a.4;apoa1b;myoc;ptprz1b;tmsb2;RPL41;spaca4l;ppp1r1b;pon1;si:ch73-1a9.3;si:ch1073-190k2.1;cd81a;rbpms2b;CR383676.1;egfl7;fxyd1;crygm2d15;slc38a11;CU682777.2;si:ch211-194m7.4;agtrap;si:ch211-255i20.3;ppp1r1c;si:ch73-367p23.2;cox4i2;eef2l2;tmem56b;anxa1c;id1;DNAJA4;btg1;tmsb1;echdc2;anxa5b;tpm4a;fgfr3;col6a1;hapln3;cyp2ad2;si:ch73-248e21.7;rpz5;hspb11;swap70b;net1;pak2a;cfhl5;cdh17;krt15;osbpl1a;si:ch211-102c2.4
39;ntd5;zgc:112160;hmgn6;tnni2a.4;hnrnpabb;rpl8;cldn5b;ch25hl1.1;selj;si:dkey-17e16.15;rac2;ampd1;klf2a;actc1b;aqp1a.1;scel;zgc:92066;pnp4b;rps8a;mfap2;cox6b1;apoa2;rps3a;sox3;eno1a;rpl18;KRT18 (1 of many).1;foxg1b;prdx6;TULP2;s100w;ifitm1;tmsb4x;tuba1c;podxl;hopx;mipa;AL935199.1;si:dkey-33i11.9;rac2;ppiaa;CELA1 (1 of many).1;CR383676.1;ttn.2;gpt2l;trim63a;oca2;ch25hl1.1;mt2;rsrp1;sparc;zgc:110333;prdx5;nxnl2;si:ch211-69g19.2;rpl26;actb2;matn4;pnp4b;cebp1;pmp22a;tnnt2d;tjp2b;si:ch211-243g18.2;aqp3a;slco1d1;mdh1aa;wfdc2;s100s;il10ra
40;dcn;fabp10a;fez1;rbm8a;stmn1a;rplp1;si:ch211-156b7.4;zgc:110333;ap2m1a;si:ch1073-111c8.3;si:zfos-1011f11.1;si:dkey-16p21.8;fstl3;oaz1a;tmem14ca;epcam;abi3bpb;afp4.1;rps11;cd81a;gamt;fetub;ntd5;aldocb;nptna;rps6;tp63;cabp5b;s100a10b;pde6d;ociad2;btg2;rpz5;hnrnpaba;msna;anxa5b;lim2.3;rpl12;ctsh;ctsz;lhfpl2b;si:ch73-44m9.5;histh1l;ak1;sat1a.2;si:ch211-255p10.3;rdh20;zgc:92242;ndrg2;dnajb1b;pmp22a;epcam;bik;si:ch211-10a23.2;fmoda;rcn3;plpp1a;CABZ01089828.1;gamt;cotl1;cdh11;rnf207b;olig2;cd9b;lgals1l1;apoba;slc20a1a;slc38a5b;pvalb9;cebpb
41;hpdb;prss59.1;H2AFX (1 of many).5;snu13b;gas1b;rpl18;ddx39ab;zgc:175088;zgc:109934;pde6c;igfbp7;myom2a;timp2a;hnrpdl;ap2m1a;cfl1l;itgb1b.2;hpda;rpl26;gapdhs;aldob;pvalb1;krt8;slc1a3b;syt2a;ppiaa;col17a1a;golga7ba;slc2a15b;msi1;s100v1;lxn;tspan18a;atp6v0cb;FO393393.1;lgals3b;crygn1;pcbd1;dpep1;ptpn6;tcirg1a;aqp12;zgc:110340;hsp90aa1.1;atp1b1a;myom2a;pip4k2cb;zgc:163030;aldocb;hsp90ab1;klf6a;cldnb;SYCE3;fstl5;rps15a;rpl7;il13ra2;sdc4;aldob;sepw1;id3;ryr1a;syngr2b;arg2;atp1b3a;serpinc1;atp5b;slc43a1a;daw1;CU570881.2
42;cd81a;fabp2;smarce1;h3f3a;fam60al.1;rpl26;sub1a;si:dkey-247k7.2;tmod4;gnb5b;cldn1;tcap;mxra8b;hmgb1a;zgc:109934;si:dkey-87o1.2;fmoda;c9;rpl35a;tmem176l.1;ace2;prss59.1;rpl3;slc6a11b;tspan7b;rpl3;mmp30;si:ch73-256g18.2;gpr143;neurod4;zgc:193505;zgc:162730;slc43a3b;khdrbs1a;afap1l1b;glrx;lim2.5;atp6v0ca;ezra;actb2;prps1a;nupr1;si:dkey-31g6.6;ttn.1;slc7a2;si:ch211-131k2.3;si:ch211-236l14.4;soul2;glula;ucmab;gulp1a;f11r.1;si:dkey-184p9.7;pcsk1nl;krt18;PLOD3;hlx1;cnn2;kng1;sult2st1;ndnf;tcap;fabp3;ndnfl;tmem238a;f7;slc13a3;igsf10;zgc:109934;rac2
43;si:ch211-286o17.1;lgals2b;chd4a;nop10;si:ch73-1a9.3;rps18;sumo3b;soul2;sod1;unc119b;ets2;myom1a;ctsla;ip6k2a;CABZ01020261.1;si:ch211-95j8.2;ntd5;igfbp1a;rps7;dnajb1b;serpinb1l3;prss59.2;cd81a;syt11a;atp6v1g1;rps9;col2a1b;pcp4a;nrgna;h3f3b.1.2;nqo1;junbb;rnd3b;sncgb;grapa;si:ch73-347e22.8;endou2;rasd1;serpinb1l3;si:ch211-102c2.4;uraha;si:dkey-266f7.9;grasp;ldb3b;slc38a3a;mybphb;cracr2ab;cd9b;cav2;sdc4;sdc4;atp1a1a.2;slc25a5;bik;si:ch211-288g17.3;angptl1a;fhl2a;hsp90aa1.2;f2;lrrc15;timp2a;actc1a;cd226;soul2;tmsb1;plg;slc34a1a;slc3a2a;tekt3;arhgdig
44;col1a2;tmsb1;si:ch73-1a9.3;fkbp1aa;khdrbs1a;rps8a;snrpd1;cfl1l;tpd52l2b;si:dkey-65b13.13;ecrg4b;hspb9;rpl32;si:dkey-177p2.6;ccni;si:dkey-201i2.1;twist1a;diabloa;rps19;snai1a;ada;actc1b;serpinh1b;slc38a3a;atp6ap2;rpl13;rac2;gabrr2a;rasd1;slc25a3a;anxa3a;si:ch211-105c13.3;cd81a;LINC00672;lmo2;elf3;bfsp2;gch2;prr15la;actb1;gpr143;cel.1;btg1;cavin4a;pdgfrl;si:dkey-51e6.1;igfbp7;scel;mdka;anxa1a;si:ch211-137a8.4;fabp3;zgc:163083;CR391998.1;cks1b;rpl13;tmsb4x;ctgfa;serpina7;mmp9;her6;ckmb;plp1a;cldn7b;hhla2a.1;si:ch1073-126c3.2;pdzk1;clu;rbm24a;si:dkey-53k12.2
45;socs3b;zgc:136930;mbd3b;h2afvb;hmgb1a;rps15a;marcksb;krt5;histh1l;syt5a;tp63;CR751608.2;tnmd;cct4;clic2;si:ch1073-190k2.1;gch1;fbp1b;rps14;tagln2;scp2a;try;RPL41;slc4a4a;dynll2a;rpl26;pak2a;efhd1;icn;atp1b2b;cyt1;wu:fb55g09;serpinh1b;h3f3b.1.1;tspan4b;si:ch73-234b20.5;capn3a;fabp3;tm4sf4;psap;FO393393.1;CELA1 (1 of many).5;plk2b;si:dkey-211f22.5;cyp3c1;myom1a;clic6;ppil1;eno1b;ehd4;crip1;calm2a;FO904881.1;anxa13l;hgd;crtap;BX088707.3;foxp4;scp2a;mapre1a;tspan4a;gapdh;slmapb;slc1a3a;rhbg;cetp;slc2a12;slc43a2b;s100a1;sult5a1
